#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 615 PSLLQ                          5                0
 620 PSRLDQ                       453                0
 621 PSRLQ                          2                0
 623 PSUBB                        509                0
 632 PTEST                        227                0
 634 PUNPCKHBW                      1                0
 635 PUNPCKHDQ                      1                0
 637 PUNPCKHWD                      2                0
 638 PUNPCKLBW                     35                0
 639 PUNPCKLDQ                      9                0
 640 PUNPCKLQDQ                    60                0
 641 PUNPCKLWD                      4                0
 642 PUSH                        6950                0
 648 PXOR                         918                0
 663 RDTSC                         27                0
 664 RDTSCP                         7                0
 700 RET_NEAR                    6875                0
 701 ROL                           85                0
 702 ROR                          278                0
 706 ROUNDSD                        4                0
 707 ROUNDSS                        4                0
 714 SAR                          877                0
 717 SBB                          285                0
 723 SETB                          78                0
 724 SETBE                         21                0
 725 SETL                           8                0
 726 SETLE                         15                0
 727 SETNB                         41                0
 728 SETNBE                        76                0
 729 SETNL                         13                0
 730 SETNLE                        58                0
 732 SETNP                         21                0
 734 SETNZ                        309                0
 736 SETP                          13                0
 737 SETS                          11                0
 739 SETZ                         463                0
 740 SFENCE                        18                0
 749 SHL                         2122                0
 750 SHLD                          11                0
 752 SHR                         1928                0
 753 SHRD                          15                0
 756 SHUFPS                         8                0
 764 SQRTSD                        30                0
 765 SQRTSS                        25                0
 771 STMXCSR                       36                0
 777 SUB                        11212                0
 780 SUBSD                       2605                0
 781 SUBSS                        495                0
 782 SUB_LOCK                      22                0
 784 SYSCALL                      632                0
 791 TEST                       18090                0
 792 TZCNT                          5                0
 794 UCOMISD                     1283                0
 795 UCOMISS                      280                0
 798 UD2                          438                0
 801 UNPCKLPD                      22                0
 802 UNPCKLPS                      24                0
 809 VADDSD                      5724                0
 821 VANDNPD                       30                0
 823 VANDPD                        62                0
 847 VCMPSD                        34                0
 872 VCVTSI2SD                     18                0
 885 VCVTTSD2SI                    33                0
 898 VDIVSD                       102                0
 908 VEXTRACTF128                  11                0
 929 VFMADD213SD                    1                0
 930 VFMADD213SS                    1                0
 937 VFMADDSD                     920                0
 938 VFMADDSS                       1                0
 969 VFMSUBSD                     198                0
 985 VFNMADDSD                    193                0
1038 VINSERTF128                   13                0
1050 VLDMXCSR                      18                0
1056 VMAXSD                         4                0
1063 VMINSD                         4                0
1068 VMOVAPD                     3300                0
1071 VMOVDDUP                       2                0
1072 VMOVDQA                      272                0
1075 VMOVDQU                       24                0
1078 VMOVDQU64                     36                0
1092 VMOVQ                          2                0
1093 VMOVSD                      3598                0
1097 VMOVUPD                       12                0
1108 VMULSD                      2704                0
1113 VORPD                         44                0
1133 VPALIGNR                      60                0
1134 VPAND                        200                0
1136 VPANDN                       200                0
1159 VPCMPEQB                      40                0
1161 VPCMPEQQ                      20                0
1165 VPCMPGTB                     400                0
1169 VPCMPISTRI                    96                0
1301 VPMOVMSKB                     54                0
1345 VPOR                         200                0
1395 VPSLLDQ                       30                0
1408 VPSRLDQ                       30                0
1414 VPSUBB                        34                0
1441 VPXOR                          4                0
1504 VSQRTSD                        2                0
1506 VSTMXCSR                      18                0
1509 VSUBSD                      2944                0
1513 VUCOMISD                    1724                0
1517 VUNPCKLPD                      2                0
1519 VXORPD                      1084                0
1522 VZEROUPPER                     5                0
1534 XADD_LOCK                      5                0
1536 XCHG                          99                0
1538 XGETBV                         6                0
1540 XOR                         8935                0
1541 XORPD                        771                0
1542 XORPS                        240                0
3000 *total                    456344                0
3001 *mem-atomic                  950                0
3002 *stack-read                40747               74
3003 *stack-write               41297                0
3004 *iprel-read                15773               10
3005 *iprel-write                2465                0
3007 *mem-read-1                 6388              192
3008 *mem-read-2                  916                0
3010 *mem-read-4                19524               55
3014 *mem-read-8                61601               82
3016 *mem-read-10                1371                0
3022 *mem-read-16                7755                0
3034 *mem-read-28                   9                0
3038 *mem-read-32                  18                0
3070 *mem-read-64                 188                0
3519 *mem-write-1                3214                9
3520 *mem-write-2                 707                0
3522 *mem-write-4               12701               24
3526 *mem-write-8               43828              141
3528 *mem-write-10                963                0
3534 *mem-write-16               5171                0
3546 *mem-write-28                 10                0
3550 *mem-write-32                 20                0
3582 *mem-write-64                 18                0

#
# $dynamic-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                         1570                0
   8 ADD                  13256529054                0
  11 ADDSD                 3116854957                0
  12 ADDSS                41481589997                0
  23 AND                   3999070847                0
  28 ANDPS                  499467749                0
  55 BSF                          569                0
  56 BSR                          278                0
  58 BT                           149                0
  64 BTS_LOCK                       7                0
  67 CALL_NEAR            20894391559                0
  70 CDQE                         765                0
  83 CMOVB                          0              551
  84 CMOVBE                         0              105
  85 CMOVL                          0              222
  86 CMOVLE                         0          5384999
  87 CMOVNB                         0               22
  88 CMOVNBE                        0        421781094
  89 CMOVNL                         0           241463
  90 CMOVNLE                        0         23999419
  93 CMOVNS                         0              317
  94 CMOVNZ                         0              106
  97 CMOVS                          0              106
  98 CMOVZ                          0           313816
  99 CMP                  51162935224                0
 102 CMPSB                          0               11
 106 CMPSS                  499467737                0
 108 CMPXCHG                       18                0
 113 CMPXCHG_LOCK           326912768                0
 116 CPUID                         30                0
 117 CQO                       200288                0
 130 CVTSD2SS              4609046519                0
 132 CVTSI2SS                39941413                0
 133 CVTSS2SD              5916062782                0
 145 DEC                         1217                0
 146 DEC_LOCK               324212275                0
 147 DIV                         1245                0
 151 DIVSS                 6275259415                0
 222 FNSTCW                       104                0
 268 IDIV                      200288                0
 269 IMUL                    47761862                0
 271 INC                         8065                0
 274 INC_LOCK                       7                0
 293 JB                   10198531234                0
 294 JBE                  20223411009                0
 297 JL                        775213                0
 298 JLE                    180108022                0
 299 JMP                  15912161662                0
 301 JNB                   3055384002                0
 302 JNBE                  7580635095                0
 303 JNL                       402719                0
 304 JNLE                    71927327                0
 307 JNS                       255637                0
 308 JNZ                  34907680249                0
 310 JP                     646693011                0
 312 JS                          2000                0
 313 JZ                   56862248126                0
 370 LEA                  12860008750                0
 371 LEAVE                          2                0
 399 MAXSS                  239818781                0
 404 MINSS                   59997642                0
 406 MOV                 116503751263                0
 407 MOVAPD                 558348507                0
 408 MOVAPS               22121515803                0
 410 MOVD                         457                0
 413 MOVDQA                      1681                0
 414 MOVDQU                       109                0
 423 MOVNTDQ                 94000000                0
 431 MOVQ                         220                0
 435 MOVSD_XMM              181147091                0
 439 MOVSS               115664133901                0
 441 MOVSX                       1042                0
 442 MOVSXD                      2238                0
 445 MOVZX                   20019809                0
 449 MUL                         1844                0
 452 MULSD                   34110270                0
 453 MULSS                52607049470                0
 456 NEG                       509905                0
 458 NOP                   1104644880                0
 467 NOT                          150                0
 469 OR                    4651341954                0
 472 OR_LOCK                        7                0
 502 PCMPEQB                     1548                0
 567 PMOVMSKB                    1547                0
 588 POP                  21950618991                0
 606 PSHUFD                       458                0
 623 PSUBB                          1                0
 638 PUNPCKLBW                    916                0
 640 PUNPCKLQDQ                    11                0
 642 PUSH                 19690786157                0
 648 PXOR                  7060079065                0
 663 RDTSC                         16                0
 700 RET_NEAR             20637239849                0
 701 ROL                          102                0
 702 ROR                          253                0
 714 SAR                      8005048                0
 717 SBB                   5625260888                0
 723 SETB                           7                0
 725 SETL                       17460                0
 727 SETNB                         12                0
 728 SETNBE                 172973765                0
 729 SETNL                      17468                0
 730 SETNLE                         1                0
 734 SETNZ                        425                0
 739 SETZ                    40054284                0
 740 SFENCE                         4                0
 749 SHL                   4473640132                0
 750 SHLD                         104                0
 752 SHR                         4427                0
 753 SHRD                         414                0
 764 SQRTSD                 558348401                0
 773 STOSD                          0              520
 774 STOSQ                          0              344
 777 SUB                   6130657226                0
 780 SUBSD                 2050494388                0
 781 SUBSS                15968100775                0
 784 SYSCALL                   911825                0
 791 TEST                 40818201026                0
 792 TZCNT                        106                0
 794 UCOMISD                834998825                0
 795 UCOMISS              45756199619                0
1536 XCHG                      628760                0
1538 XGETBV                         2                0
1540 XOR                   8544621283                0
1542 XORPS                 7802911258                0
3000 *total              836915316687        451723095
3001 *mem-atomic            651753804                0
3002 *stack-read          58923333823                0
3003 *stack-write         49798683997                0
3004 *iprel-read          28791678270                0
3005 *iprel-write              182880                0
3007 *mem-read-1                29163                0
3008 *mem-read-2                 3881                0
3010 *mem-read-4         148088523348                0
3014 *mem-read-8         120945984358                0
3022 *mem-read-16                 830                0
3519 *mem-write-1                4375                0
3520 *mem-write-2                 677                0
3522 *mem-write-4         20917468485                0
3526 *mem-write-8         41454602500                0
3534 *mem-write-16           94001077                0
# $eof
