#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 615 PSLLQ                          5                0
 620 PSRLDQ                       453                0
 621 PSRLQ                          2                0
 623 PSUBB                        509                0
 632 PTEST                        227                0
 634 PUNPCKHBW                      1                0
 635 PUNPCKHDQ                      1                0
 637 PUNPCKHWD                      2                0
 638 PUNPCKLBW                     35                0
 639 PUNPCKLDQ                      9                0
 640 PUNPCKLQDQ                    60                0
 641 PUNPCKLWD                      4                0
 642 PUSH                        6950                0
 648 PXOR                         918                0
 663 RDTSC                         27                0
 664 RDTSCP                         7                0
 700 RET_NEAR                    6875                0
 701 ROL                           85                0
 702 ROR                          278                0
 706 ROUNDSD                        4                0
 707 ROUNDSS                        4                0
 714 SAR                          877                0
 717 SBB                          285                0
 723 SETB                          78                0
 724 SETBE                         21                0
 725 SETL                           8                0
 726 SETLE                         15                0
 727 SETNB                         41                0
 728 SETNBE                        76                0
 729 SETNL                         13                0
 730 SETNLE                        58                0
 732 SETNP                         21                0
 734 SETNZ                        309                0
 736 SETP                          13                0
 737 SETS                          11                0
 739 SETZ                         463                0
 740 SFENCE                        18                0
 749 SHL                         2122                0
 750 SHLD                          11                0
 752 SHR                         1928                0
 753 SHRD                          15                0
 756 SHUFPS                         8                0
 764 SQRTSD                        30                0
 765 SQRTSS                        25                0
 771 STMXCSR                       36                0
 777 SUB                        11212                0
 780 SUBSD                       2605                0
 781 SUBSS                        495                0
 782 SUB_LOCK                      22                0
 784 SYSCALL                      632                0
 791 TEST                       18090                0
 792 TZCNT                          5                0
 794 UCOMISD                     1283                0
 795 UCOMISS                      280                0
 798 UD2                          438                0
 801 UNPCKLPD                      22                0
 802 UNPCKLPS                      24                0
 809 VADDSD                      5724                0
 821 VANDNPD                       30                0
 823 VANDPD                        62                0
 847 VCMPSD                        34                0
 872 VCVTSI2SD                     18                0
 885 VCVTTSD2SI                    33                0
 898 VDIVSD                       102                0
 908 VEXTRACTF128                  11                0
 929 VFMADD213SD                    1                0
 930 VFMADD213SS                    1                0
 937 VFMADDSD                     920                0
 938 VFMADDSS                       1                0
 969 VFMSUBSD                     198                0
 985 VFNMADDSD                    193                0
1038 VINSERTF128                   13                0
1050 VLDMXCSR                      18                0
1056 VMAXSD                         4                0
1063 VMINSD                         4                0
1068 VMOVAPD                     3300                0
1071 VMOVDDUP                       2                0
1072 VMOVDQA                      272                0
1075 VMOVDQU                       24                0
1078 VMOVDQU64                     36                0
1092 VMOVQ                          2                0
1093 VMOVSD                      3598                0
1097 VMOVUPD                       12                0
1108 VMULSD                      2704                0
1113 VORPD                         44                0
1133 VPALIGNR                      60                0
1134 VPAND                        200                0
1136 VPANDN                       200                0
1159 VPCMPEQB                      40                0
1161 VPCMPEQQ                      20                0
1165 VPCMPGTB                     400                0
1169 VPCMPISTRI                    96                0
1301 VPMOVMSKB                     54                0
1345 VPOR                         200                0
1395 VPSLLDQ                       30                0
1408 VPSRLDQ                       30                0
1414 VPSUBB                        34                0
1441 VPXOR                          4                0
1504 VSQRTSD                        2                0
1506 VSTMXCSR                      18                0
1509 VSUBSD                      2944                0
1513 VUCOMISD                    1724                0
1517 VUNPCKLPD                      2                0
1519 VXORPD                      1084                0
1522 VZEROUPPER                     5                0
1534 XADD_LOCK                      5                0
1536 XCHG                          99                0
1538 XGETBV                         6                0
1540 XOR                         8935                0
1541 XORPD                        771                0
1542 XORPS                        240                0
3000 *total                    456344                0
3001 *mem-atomic                  950                0
3002 *stack-read                40747               74
3003 *stack-write               41297                0
3004 *iprel-read                15773               10
3005 *iprel-write                2465                0
3007 *mem-read-1                 6388              192
3008 *mem-read-2                  916                0
3010 *mem-read-4                19524               55
3014 *mem-read-8                61601               82
3016 *mem-read-10                1371                0
3022 *mem-read-16                7755                0
3034 *mem-read-28                   9                0
3038 *mem-read-32                  18                0
3070 *mem-read-64                 188                0
3519 *mem-write-1                3214                9
3520 *mem-write-2                 707                0
3522 *mem-write-4               12701               24
3526 *mem-write-8               43828              141
3528 *mem-write-10                963                0
3534 *mem-write-16               5171                0
3546 *mem-write-28                 10                0
3550 *mem-write-32                 20                0
3582 *mem-write-64                 18                0

#
# $dynamic-counts
#
#     opcode       count-unpredicated    count-predicated
#
   8 ADD                     91325909                0
  12 ADDSS                          2                0
  23 AND                        20763                0
  55 BSF                           20                0
  56 BSR                            7                0
  58 BT                           129                0
  67 CALL_NEAR                2005770                0
  70 CDQE                           7                0
  83 CMOVB                          0              436
  84 CMOVBE                         0              105
  87 CMOVNB                         0                9
  88 CMOVNBE                        0                5
  90 CMOVNLE                        0          4000000
  94 CMOVNZ                         0               29
  98 CMOVZ                          0             4058
  99 CMP                     59076357                0
 102 CMPSB                          0                4
 108 CMPXCHG                       12                0
 113 CMPXCHG_LOCK                   2                0
 116 CPUID                         30                0
 117 CQO                            3                0
 130 CVTSD2SS                       4                0
 133 CVTSS2SD                       3                0
 145 DEC                          113                0
 146 DEC_LOCK                       2                0
 147 DIV                          137                0
 268 IDIV                           3                0
 269 IMUL                    12000175                0
 271 INC                         5907                0
 293 JB                          2397                0
 294 JBE                          788                0
 297 JL                             1                0
 298 JLE                      2000059                0
 299 JMP                      2005955                0
 301 JNB                     11751105                0
 302 JNBE                        3373                0
 303 JNL                            8                0
 304 JNLE                    32000154                0
 307 JNS                          141                0
 308 JNZ                      7320330                0
 310 JP                             2                0
 312 JS                            24                0
 313 JZ                       4032097                0
 370 LEA                    101522714                0
 371 LEAVE                          2                0
 406 MOV                    209499908                0
 407 MOVAPD                         4                0
 408 MOVAPS                         6                0
 410 MOVD                          12                0
 413 MOVDQA                        65                0
 414 MOVDQU                         4                0
 423 MOVNTDQ                 94000000                0
 431 MOVQ                           5                0
 435 MOVSD_XMM                     12                0
 439 MOVSS                        106                0
 441 MOVSX                        375                0
 442 MOVSXD                       210                0
 445 MOVZX                       8491                0
 449 MUL                            6                0
 452 MULSD                          2                0
 453 MULSS                          6                0
 456 NEG                          122                0
 458 NOP                         5814                0
 467 NOT                           23                0
 469 OR                           488                0
 502 PCMPEQB                       71                0
 567 PMOVMSKB                      69                0
 588 POP                         3619                0
 606 PSHUFD                        13                0
 623 PSUBB                          2                0
 638 PUNPCKLBW                     26                0
 640 PUNPCKLQDQ                     4                0
 642 PUSH                        3672                0
 648 PXOR                          27                0
 663 RDTSC                          9                0
 700 RET_NEAR                 2005765                0
 701 ROL                           81                0
 702 ROR                            3                0
 714 SAR                      8000187                0
 717 SBB                          115                0
 730 SETNLE                         1                0
 734 SETNZ                         31                0
 739 SETZ                         351                0
 740 SFENCE                         4                0
 749 SHL                     30002043                0
 752 SHR                         2684                0
 774 STOSQ                          0              344
 777 SUB                      8005788                0
 781 SUBSS                          2                0
 784 SYSCALL                       74                0
 791 TEST                     2029601                0
 794 UCOMISD                        2                0
 795 UCOMISS                        2                0
 809 VADDSD                        13                0
1068 VMOVAPD                       18                0
1093 VMOVSD                        19                0
1108 VMULSD                        19                0
1506 VSTMXCSR                       4                0
1509 VSUBSD                         9                0
1513 VUCOMISD                       3                0
1519 VXORPD                         2                0
1536 XCHG                          20                0
1538 XGETBV                         2                0
1540 XOR                         9807                0
1542 XORPS                          2                0
3000 *total                 678654328          4004990
3001 *mem-atomic                    4                0
3002 *stack-read             32016837                0
3003 *stack-write             2017566                0
3004 *iprel-read             66009606                0
3005 *iprel-write                 563                0
3007 *mem-read-1                17207                0
3008 *mem-read-2                 3040                0
3010 *mem-read-4                18804                0
3014 *mem-read-8            112043074                0
3022 *mem-read-16                  40                0
3519 *mem-write-1                 168                0
3520 *mem-write-2                  55                0
3522 *mem-write-4                6717                0
3526 *mem-write-8            49430263                0
3534 *mem-write-16           94000001                0
# $eof
