#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
1506 VSTMXCSR                      18                0
1509 VSUBSD                      2944                0
1513 VUCOMISD                    1724                0
1517 VUNPCKLPD                      2                0
1519 VXORPD                      1084                0
1522 VZEROUPPER                     5                0
1534 XADD_LOCK                      5                0
1536 XCHG                          99                0
1538 XGETBV                         6                0
1540 XOR                         8767                0
1541 XORPD                        765                0
1542 XORPS                        230                0
3000 *total                    449879                0
3001 *mem-atomic                  950                0
3002 *stack-read                40001               74
3003 *stack-write               40292                0
3004 *iprel-read                15487               10
3005 *iprel-write                2327                0
3007 *mem-read-1                 6386              190
3008 *mem-read-2                  916                0
3010 *mem-read-4                18714               55
3014 *mem-read-8                60562               76
3016 *mem-read-10                1371                0
3022 *mem-read-16                7752                0
3034 *mem-read-28                   9                0
3038 *mem-read-32                  18                0
3070 *mem-read-64                 188                0
3519 *mem-write-1                3215                9
3520 *mem-write-2                 707                0
3522 *mem-write-4               12151               24
3526 *mem-write-8               43043              141
3528 *mem-write-10                963                0
3534 *mem-write-16               5170                0
3546 *mem-write-28                 10                0
3550 *mem-write-32                 20                0
3582 *mem-write-64                 18                0

#
# $dynamic-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                           64                0
   8 ADD                   1359485370                0
  11 ADDSD                 1766114864                0
  23 AND                    281710614                0
  55 BSF                           96                0
  56 BSR                           22                0
  58 BT                           152                0
  64 BTS_LOCK                       1                0
  67 CALL_NEAR              707129028                0
  70 CDQE                      558153                0
  83 CMOVB                          0              554
  84 CMOVBE                         0              452
  86 CMOVLE                         0              202
  87 CMOVNB                         0               32
  88 CMOVNBE                        0              297
  89 CMOVNL                         0               27
  90 CMOVNLE                        0                4
  93 CMOVNS                         0               10
  94 CMOVNZ                         0               52
  97 CMOVS                          0                3
  98 CMOVZ                          0             2260
  99 CMP                   1033290670                0
 108 CMPXCHG                       40                0
 113 CMPXCHG_LOCK            34405598                0
 116 CPUID                         30                0
 117 CQO                     69403278                0
 131 CVTSI2SD                 6794732                0
 132 CVTSI2SS                       8                0
 133 CVTSS2SD                       4                0
 139 CVTTSD2SI                4509300                0
 145 DEC                          215                0
 146 DEC_LOCK                34577403                0
 147 DIV                          179                0
 150 DIVSD                  542807217                0
 151 DIVSS                          4                0
 222 FNSTCW                        17                0
 268 IDIV                          10                0
 269 IMUL                  1117254685                0
 271 INC                         7554                0
 274 INC_LOCK                       1                0
 293 JB                     297987535                0
 294 JBE                     10649463                0
 297 JL                       7570970                0
 298 JLE                     25157111                0
 299 JMP                    591509252                0
 301 JNB                     44025517                0
 302 JNBE                     7699081                0
 303 JNL                      1083082                0
 304 JNLE                     4826088                0
 306 JNP                      2452983                0
 307 JNS                          178                0
 308 JNZ                    307562698                0
 310 JP                     262462487                0
 312 JS                           682                0
 313 JZ                    1222259003                0
 367 LDDQU                       7800                0
 370 LEA                   1033674570                0
 371 LEAVE                          2                0
 398 MAXSD                          3                0
 406 MOV                   3147809637                0
 407 MOVAPD                  45594220                0
 408 MOVAPS                        40                0
 410 MOVD                          52                0
 413 MOVDQA                       205                0
 414 MOVDQU                      7830                0
 431 MOVQ                      569616                0
 435 MOVSD_XMM             7024038513                0
 441 MOVSX                        522                0
 442 MOVSXD                   5032661                0
 445 MOVZX                      10329                0
 449 MUL                           96                0
 452 MULSD                 2434772943                0
 456 NEG                          230                0
 458 NOP                    148921908                0
 467 NOT                           74                0
 469 OR                       1709800                0
 472 OR_LOCK                        1                0
 502 PCMPEQB                      211                0
 567 PMOVMSKB                     211                0
 588 POP                   2808619202                0
 606 PSHUFD                        63                0
 638 PUNPCKLBW                    126                0
 640 PUNPCKLQDQ                     1                0
 642 PUSH                  2855674210                0
 648 PXOR                    11162609                0
 663 RDTSC                         10                0
 700 RET_NEAR               712011901                0
 701 ROL                           84                0
 702 ROR                           23                0
 706 ROUNDSD                  4511185                0
 714 SAR                     17462207                0
 717 SBB                          139                0
 719 SCASB                          0               70
 723 SETB                           1                0
 728 SETNBE                 311124321                0
 734 SETNZ                         96                0
 739 SETZ                         418                0
 749 SHL                      2876037                0
 750 SHLD                          21                0
 752 SHR                     69540241                0
 753 SHRD                          12                0
 764 SQRTSD                 260977898                0
 771 STMXCSR                   569584                0
 773 STOSD                          0               50
 774 STOSQ                          0             4075
 777 SUB                    687665677                0
 780 SUBSD                 1282234690                0
 784 SYSCALL                   252241                0
 791 TEST                   732079054                0
 792 TZCNT                          6                0
 794 UCOMISD                597855396                0
1536 XCHG                      168754                0
1538 XGETBV                         2                0
1540 XOR                    396435180                0
1541 XORPD                    1284385                0
3000 *total               34337952687             8088
3001 *mem-atomic             69151738                0
3002 *stack-read           4789932105                0
3003 *stack-write          4248497184                0
3004 *iprel-read           1048006695                0
3005 *iprel-write             2243374                0
3007 *mem-read-1                21928                0
3008 *mem-read-2                 3290                0
3010 *mem-read-4            241141263                0
3014 *mem-read-8          11760655754                0
3022 *mem-read-16                7952                0
3519 *mem-write-1                 577                0
3520 *mem-write-2                 140                0
3522 *mem-write-4           208588632                0
3526 *mem-write-8          7520186782                0
3534 *mem-write-16               7875                0
# $eof
