#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 416 MOVHPD                        22                0
 417 MOVHPS                        11                0
 419 MOVLPD                        98                0
 423 MOVNTDQ                      131                0
 425 MOVNTI                        80                0
 431 MOVQ                         252                0
 435 MOVSD_XMM                   4797                0
 439 MOVSS                       1530                0
 441 MOVSX                        711                0
 442 MOVSXD                      3696                0
 445 MOVZX                       4593                0
 449 MUL                           70                0
 450 MULPD                         20                0
 452 MULSD                       3720                0
 453 MULSS                        845                0
 456 NEG                          697                0
 458 NOP                        13687                0
 467 NOT                          227                0
 469 OR                          2277                0
 470 ORPD                          67                0
 471 ORPS                          46                0
 472 OR_LOCK                       13                0
 485 PADDD                         32                0
 486 PADDQ                         12                0
 492 PALIGNR                     2262                0
 493 PAND                        1280                0
 495 PAUSE                         11                0
 502 PCMPEQB                     2152                0
 503 PCMPEQD                      155                0
 506 PCMPESTRI                      1                0
 508 PCMPGTB                     1221                0
 509 PCMPGTD                        1                0
 511 PCMPGTW                        2                0
 512 PCMPISTRI                    241                0
 549 PINSRB                         3                0
 558 PMAXUB                        15                0
 564 PMINUB                       367                0
 567 PMOVMSKB                    1829                0
 587 PMULUDQ                        3                0
 588 POP                        10041                0
 591 POPCNT                         1                0
 595 POR                          779                0
 596 PREFETCHNTA                  126                0
 597 PREFETCHT0                    40                0
 600 PREFETCHW                      4                0
 605 PSHUFB                        28                0
 606 PSHUFD                        30                0
 614 PSLLDQ                       300                0
 615 PSLLQ                          5                0
 620 PSRLDQ                       453                0
 621 PSRLQ                          2                0
 623 PSUBB                        509                0
 632 PTEST                        227                0
 634 PUNPCKHBW                      1                0
 635 PUNPCKHDQ                      1                0
 637 PUNPCKHWD                      2                0
 638 PUNPCKLBW                     35                0
 639 PUNPCKLDQ                      9                0
 640 PUNPCKLQDQ                    60                0
 641 PUNPCKLWD                      4                0
 642 PUSH                        6831                0
 648 PXOR                         882                0
 663 RDTSC                         27                0
 664 RDTSCP                         7                0
 700 RET_NEAR                    6808                0
 701 ROL                           85                0
 702 ROR                          278                0
 706 ROUNDSD                        4                0
 707 ROUNDSS                        4                0
 714 SAR                          871                0
 717 SBB                          282                0
 723 SETB                          78                0
 724 SETBE                         22                0
 725 SETL                           7                0
 726 SETLE                         15                0
 727 SETNB                         42                0
 728 SETNBE                        70                0
 729 SETNL                         12                0
 730 SETNLE                        58                0
 732 SETNP                         23                0
 734 SETNZ                        309                0
 736 SETP                          13                0
 737 SETS                          11                0
 739 SETZ                         449                0
 740 SFENCE                        18                0
 749 SHL                         2100                0
 750 SHLD                          11                0
 752 SHR                         1948                0
 753 SHRD                          15                0
 756 SHUFPS                         8                0
 764 SQRTSD                        31                0
 765 SQRTSS                        25                0
 771 STMXCSR                       36                0
 777 SUB                        11157                0
 780 SUBSD                       2635                0
 781 SUBSS                        426                0
 782 SUB_LOCK                      22                0
 784 SYSCALL                      632                0
 791 TEST                       18090                0
 792 TZCNT                          5                0
 794 UCOMISD                     1326                0
 795 UCOMISS                      216                0
 798 UD2                          438                0
 801 UNPCKLPD                      22                0
 802 UNPCKLPS                      24                0
 809 VADDSD                      5724                0
 821 VANDNPD                       30                0
 823 VANDPD                        62                0
 847 VCMPSD                        34                0
 872 VCVTSI2SD                     18                0
 885 VCVTTSD2SI                    33                0
 898 VDIVSD                       102                0
 908 VEXTRACTF128                  11                0
 929 VFMADD213SD                    1                0
 930 VFMADD213SS                    1                0
 937 VFMADDSD                     920                0
 938 VFMADDSS                       1                0
 969 VFMSUBSD                     198                0
 985 VFNMADDSD                    193                0
1038 VINSERTF128                   13                0
1050 VLDMXCSR                      18                0
1056 VMAXSD                         4                0
1063 VMINSD                         4                0
1068 VMOVAPD                     3300                0
1071 VMOVDDUP                       2                0
1072 VMOVDQA                      272                0
1075 VMOVDQU                       24                0
1078 VMOVDQU64                     36                0
1092 VMOVQ                          2                0
1093 VMOVSD                      3598                0
1097 VMOVUPD                       12                0
1108 VMULSD                      2704                0
1113 VORPD                         44                0
1133 VPALIGNR                      60                0
1134 VPAND                        200                0
1136 VPANDN                       200                0
1159 VPCMPEQB                      40                0
1161 VPCMPEQQ                      20                0
1165 VPCMPGTB                     400                0
1169 VPCMPISTRI                    96                0
1301 VPMOVMSKB                     54                0
1345 VPOR                         200                0
1395 VPSLLDQ                       30                0
1408 VPSRLDQ                       30                0
1414 VPSUBB                        34                0
1441 VPXOR                          4                0
1504 VSQRTSD                        2                0
1506 VSTMXCSR                      18                0
1509 VSUBSD                      2944                0
1513 VUCOMISD                    1724                0
1517 VUNPCKLPD                      2                0
1519 VXORPD                      1084                0
1522 VZEROUPPER                     5                0
1534 XADD_LOCK                      5                0
1536 XCHG                          99                0
1538 XGETBV                         6                0
1540 XOR                         8835                0
1541 XORPD                        775                0
1542 XORPS                        230                0
3000 *total                    453123                0
3001 *mem-atomic                  950                0
3002 *stack-read                40270               74
3003 *stack-write               40714                0
3004 *iprel-read                15652               10
3005 *iprel-write                2304                0
3007 *mem-read-1                 6372              196
3008 *mem-read-2                  916                0
3010 *mem-read-4                18761               55
3014 *mem-read-8                61233               76
3016 *mem-read-10                1371                0
3022 *mem-read-16                7756                0
3034 *mem-read-28                   9                0
3038 *mem-read-32                  18                0
3070 *mem-read-64                 188                0
3519 *mem-write-1                3214                9
3520 *mem-write-2                 707                0
3522 *mem-write-4               12172               24
3526 *mem-write-8               43397              141
3528 *mem-write-10                963                0
3534 *mem-write-16               5178                0
3546 *mem-write-28                 10                0
3550 *mem-write-32                 20                0
3582 *mem-write-64                 18                0

#
# $dynamic-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                           73                0
   8 ADD                   3087996601                0
  11 ADDSD                 2985530315                0
  23 AND                     85103135                0
  27 ANDPD                   31921837                0
  55 BSF                          131                0
  56 BSR                           18                0
  58 BT                           165                0
  64 BTS_LOCK                       1                0
  67 CALL_NEAR               53969024                0
  70 CDQE                     2860996                0
  83 CMOVB                          0              613
  84 CMOVBE                         0              261
  86 CMOVLE                         0              141
  87 CMOVNB                         0               21
  88 CMOVNBE                        0          1363594
  89 CMOVNL                         0               17
  93 CMOVNS                         0               41
  94 CMOVNZ                         0          5595153
  97 CMOVS                          0                5
  98 CMOVZ                          0          7436969
  99 CMP                   1387518503                0
 102 CMPSB                          0               36
 104 CMPSD_XMM                      1                0
 108 CMPXCHG                  1408754                0
 113 CMPXCHG_LOCK             9312530                0
 116 CPUID                         30                0
 117 CQO                       144947                0
 131 CVTSI2SD                33800290                0
 139 CVTTSD2SI                3108284                0
 145 DEC                      1408895                0
 146 DEC_LOCK                 9285848                0
 147 DIV                          195                0
 150 DIVSD                  219714076                0
 222 FNSTCW                        13                0
 268 IDIV                      144947                0
 269 IMUL                      961738                0
 271 INC                         8133                0
 274 INC_LOCK                       1                0
 293 JB                       1689291                0
 294 JBE                     32700371                0
 297 JL                       2960092                0
 298 JLE                     35483690                0
 299 JMP                    508207073                0
 301 JNB                      4685999                0
 302 JNBE                    42180713                0
 303 JNL                      1423616                0
 304 JNLE                   101544118                0
 306 JNP                      4754395                0
 307 JNS                          224                0
 308 JNZ                    544217612                0
 310 JP                      10756910                0
 312 JS                       2420513                0
 313 JZ                    1645425298                0
 367 LDDQU                       6110                0
 370 LEA                    175622750                0
 371 LEAVE                          2                0
 398 MAXSD                         10                0
 406 MOV                    856755092                0
 407 MOVAPD                4496587097                0
 408 MOVAPS                        24                0
 410 MOVD                          97                0
 413 MOVDQA                       345                0
 414 MOVDQU                      6139                0
 431 MOVQ                    20231661                0
 435 MOVSD_XMM             4240834053                0
 441 MOVSX                        521                0
 442 MOVSXD                  11033781                0
 445 MOVZX                    7226590                0
 449 MUL                          127                0
 452 MULSD                 6933331823                0
 456 NEG                          198                0
 458 NOP                     55453638                0
 467 NOT                      2500430                0
 469 OR                      11179785                0
 472 OR_LOCK                        1                0
 502 PCMPEQB                      362                0
 567 PMOVMSKB                     362                0
 588 POP                     46761477                0
 606 PSHUFD                       106                0
 638 PUNPCKLBW                    212                0
 640 PUNPCKLQDQ                     1                0
 642 PUSH                    46768328                0
 648 PXOR                    38768794                0
 663 RDTSC                         10                0
 700 RET_NEAR                53888390                0
 701 ROL                           84                0
 702 ROR                           75                0
 706 ROUNDSD                        1                0
 714 SAR                     17775726                0
 717 SBB                          130                0
 719 SCASB                          0                2
 723 SETB                           1                0
 727 SETNB                    6020385                0
 728 SETNBE                    569083                0
 730 SETNLE                         1                0
 732 SETNP                   10508340                0
 734 SETNZ                        129                0
 736 SETP                     2447834                0
 739 SETZ                         442                0
 749 SHL                     21159495                0
 750 SHLD                          18                0
 752 SHR                      8559243                0
 753 SHRD                          17                0
 764 SQRTSD                   2684533                0
 771 STMXCSR                   569082                0
 773 STOSD                          0               55
 774 STOSQ                          0             2927
 777 SUB                    128606748                0
 780 SUBSD                 3274352406                0
 784 SYSCALL                     1297                0
 791 TEST                   875721429                0
 792 TZCNT                          9                0
 794 UCOMISD                 84572219                0
 801 UNPCKLPD                       1                0
 809 VADDSD                  41526530                0
 872 VCVTSI2SD                6909780                0
1068 VMOVAPD                 34587095                0
1093 VMOVSD                  39493069                0
1108 VMULSD                  26668373                0
1509 VSUBSD                  11545043                0
1513 VUCOMISD                23013319                0
1519 VXORPD                   9520069                0
1536 XCHG                         768                0
1538 XGETBV                         2                0
1540 XOR                     34339959                0
1541 XORPD                   17352049                0
3000 *total               32528112496         14399835
3001 *mem-atomic             18599129                0
3002 *stack-read            210038228                0
3003 *stack-write           159006900                0
3004 *iprel-read            209625714                0
3005 *iprel-write             3080252                0
3007 *mem-read-1                22474                0
3008 *mem-read-2                 3319                0
3010 *mem-read-4             86110368                0
3014 *mem-read-8           4750088148                0
3022 *mem-read-16             4995909                0
3519 *mem-write-1                 682                0
3520 *mem-write-2                 135                0
3522 *mem-write-4            64918198                0
3526 *mem-write-8           786598086                0
3534 *mem-write-16               6172                0
# $eof
